,0
0,Abolition & Underground RR (1035)
1,African Americans (6358)
2,Agriculture (3697)
3,Air & Space (2378)
4,Animals (1925)
5,Anthropology & Archaeology (1027)
6,Architecture (4275)
7,"Arts, Letters, Music (5544)"
8,Asian Americans (345)
9,Bridges & Viaducts (1900)
10,Cemeteries & Burial Sites (6787)
11,Charity & Public Work (3769)
12,"Churches & Religion (11,908) ❹"
13,Civil Rights (1929)
14,Colonial Era (8349) ❽
15,Communications (2180)
16,Disasters (1852)
17,Education (8939) ❻
18,Entertainment (3380)
19,Environment (2475)
20,Exploration (2819)
21,Forts or Castles (4611)
22,Fraternal or Sororal Organizations (1927)
23,Government & Politics (5669)
24,Heroes (858)
25,Hispanic Americans (567)
26,Horticulture & Forestry (1839)
27,"Industry & Commerce (18,527) ❸"
28,Labor Unions (374)
29,Landmarks (1233)
30,Law Enforcement (603)
31,Man-Made Features (6977) ❿
32,Military (4229)
33,Native Americans (7517) ❾
34,Natural Features (1335)
35,Natural Resources (991)
36,"Notable Buildings (10,719) ❺"
37,Notable Events (2399)
38,Notable Places (3819)
39,Paleontology (175)
40,Parks & Recreational Areas (2810)
41,Patriots & Patriotism (5838)
42,Peace (476)
43,Political Subdivisions (1136)
44,Railroads & Streetcars (5260)
45,Roads & Vehicles (6010)
46,Science & Medicine (3158)
47,"Settlements & Settlers (22,766) ❶"
48,Sports (2378)
49,War of 1812 (2044)
50,"War, 1st Iraq & Desert Storm (380)"
51,"War, 2nd Iraq (306)"
52,"War, Afghanistan (286)"
53,"War, Cold (578)"
54,"War, French and Indian (830)"
55,"War, Korean (1819)"
56,"War, Mexican-American (542)"
57,"War, Spanish-American (648)"
58,"War, Texas Independence (472)"
59,"War, US Civil (19,197) ❷"
60,"War, US Revolutionary (6754)"
61,"War, Vietnam (2251)"
62,"War, World I (3408)"
63,"War, World II (6006)"
64,"Wars, Non-US (924)"
65,"Wars, US Indian (2097)"
66,Waterways & Vessels (8668) ❼
67,Women (3373)
